CLUE,ANS,OUTPUT
"Depend, bank",rely,"['Savings', 'Loan', 'Finance', 'Credit', 'Interest', 'Currency', 'Deposit', 'Investment', 'Mortgage', 'Asset', 'Equity', 'Debt', 'Capital', 'Dividend', 'Security', 'Balance', 'Terms', 'Repayment', 'Liquidity', 'Budget']"
English novelist ,ford madox ford,"['Austen (referring to Jane Austen)', 'Bronte (Charlotte, Emily, and Anne Bronte)', 'Dickens (referring to Charles Dickens)', 'Eliot (George Eliot/Mary Ann Evans)', 'Faulkner (William Faulkner)', 'Forster (E', 'Hemingway (Ernest Hemingway)', 'Joyce (James Joyce)', 'Kipling (Rudyard Kipling)', 'Orwell (George Orwell/Eric Blair)', 'Hardy (Thomas Hardy)', 'Woolf (Virginia Woolf)', 'Steinbeck (John Steinbeck)', 'Wilde (Oscar Wilde)', 'Huxley (Aldous Huxley)', 'Twain (Mark Twain/Samuel Clemens)', 'Brontë (Emily Brontë, part of the Bronte sisters)', 'Tolstoy (Leo Tolstoy; although Russian, many English-speaking readers are familiar with him through his novels translated into English)', 'Lawrence (D', 'Plath (Sylvia Plath)']"
Act -- rotate ,turn,"['Spin', 'Twirl', 'Revolve', 'Rotate', 'Whirl', 'Gyrate', 'Swivel', 'Orbit', 'Circulate', 'Tumble', 'Pivot', 'Barrel', 'Roundabout (in British English)', 'Cycle', 'Revolve (again, as it can mean to act or take part in something)', 'Rotation', 'Churn', 'Oscillate', 'Gyroscopic', 'Orbiting', 'Counterclockwise']"
Food softened in liquid - inadequate concessions,sops,"['Puddingified', 'Softmelted', 'Liquifydoughnut', 'Steamcake', 'Brothsoakedbread', 'Soupsteamedpotato', 'Puddingfloodtart', 'Jellojellyfishmeat', 'Porridgepumpkinseed', 'Gravygrainedrice', 'Stewsugaredbean', 'Juicybreadcrumbcake', 'Creamsoakednoodle ', 'Soupinfusedpastry', 'Syrupysteamedfruit', 'Puddingdrenchedcookie', 'Teabathcake', 'Drizzledsaucedumpling', 'Creamsoakedbagel', 'Milksoftenedpretzel']"
Lower ,nether,"['Downstairs', 'Descend', 'Decline', 'Below', 'Basement', 'Drop', 'Dip', 'Diminish', 'Sink', 'Some iconic dishes include:', '**Dosa** - A crispy pancake made from a fermented batter consisting of rice and black gram, typically served with sambar (a lentil-based vegetable stew) and coconut chutney.', '**Idli** - Steamed cakes made from the same fermented batter as dosas but softer in texture', '**Appam (Aappam)** - A pancake made from a fermented rice-and-coconut milk batter, usually served with stew or curry', '**Puttu** - A cylindrical steamed dish made from rice flour mixed with grated coconut and then served with a side of spicy chana dal or kadala curry (black bean stew).', '**Mutton Biryani** - A fragrant, layered preparation consisting of marinated mutton cooked with basmati rice, ghee, fried onions, and a blend of spices like saffron, cardamom, cloves, and cinnamon.', '**Sambar** - A flavorful lentil-based stew made with toor dal (pigeon pea), vegetables (like drumsticks or eggplant), tamarind, spices, and tempered mustard seeds, curry leaves, asafoetida.', '**Kerala Fish Curry** - A mildly spiced fish stew cooked with coconut milk, green chilies, turmeric powder, ginger-garlic paste, and a blend of local herbs like kaffir lime leaves and curry leaves.', '**Kerala Parotta** - A layered flatbread made from maida (all-purpose flour), butter or ghee, and water; often served with a side of chicken fry or fish curry.', '**Nadan Chicken Curry** - Also known as ""Kozhi Koottu,"" it is a spicy and tangy chicken stew cooked with tamarind pulp, coconut milk, ginger garlic paste, and local Kerala red chilies.', '**Avial** - A mixed vegetable curry made from a combination of 12-15 vegetables like beans, drumsticks, carrots, and peas cooked with coconut milk, green chillies, turmeric powder, and tempered mustard seeds.', '**Pazham Pori** - A sweet snack made by frying ripe bananas or plantains in ghee until they turn golden brown; it is sometimes coated with sugar syrup for added sweetness.', '**Karimeen Pollichathu (Pearl Spot Fish)** - An aromatic, baked dish made by marinating freshwater pearl spot fish in ginger-garlic paste and spices before wrapping it with banana leaves or roti parotta sheets and baking until cooked through.', '**Payasam (Kheer)** - A sweet dessert made from rice, vermicelli, or wheat grains simmered in milk infused with cardamom seeds and flavored with saffron strands; often garnished with nuts like cashew nuts and raisins.', '**Neyyappam** - A traditional deep-fried pancake made of rice flour, jaggery, ghee, and crushed cashew nuts; it is often served as an offering to deities during festivals and special occasions.', '**Palada Payasam (Banana Flower Payasam)** - A unique dessert made from banana flowers cooked in milk with sugar, ghee, cardamom, and sometimes flavored with rose water or saffron strands; it is served chilled as a refreshing sweet dish.', '**Kallaras (Ridge Gourd Fritters)** - Crispy fritters made from grated ridge gourd mixed with rice flour, spices, and herbs like curry leaves; these can be served as an appetizer or snack.', '**Chemba Podi** - A popular street food item consisting of roasted chickpeas seasoned with salt, turmeric, red chili powder, and cumin seeds', '**Kozhukatta (Modak)** - A sweet dumpling made from rice flour filled with grated coconut mixed with jaggery; it is steamed and served during festive occasions like Ganesh Chaturthi.', '**Chammanthipoo Payasam** - Made using the rare and exotic Chammanthipoo flower, this dessert features a delicate flavor of roses; cooked with milk, sugar, ghee, cardamom powder, and saffron strands for an indulgent treat.', ""Each one is prepared using fresh ingcuents sourced locally, resulting in distinct flavors that showcase this culinary tradition's richness and depth.""]"
Common pub name ,rose and crown,"[""The Ploughman's Rest"", 'The Royal Arms', 'Ye Olde Fighting Cock', 'The Drunken Leech', 'Fox and Hounds Inn', 'The Golden Fleecian', 'The Three Horseshoes', 'The Anchor Brewpub ', 'The Crown & Sceptre', ""The Old Forester's Den"", 'The Hungry Horse Tavern', 'Black Sheep Pub', 'Ye Olde King’s Head', 'The Nags Head Inn', 'The Red Lion Alehouse', 'The Silver Fox Brewpub ', ""The Jolly Sailor's Rest"", ""The Merry Monk's Tavern"", 'The Tipsy Toad Pub', 'The Mighty Oak Bar & Grill']"
Muse of history,clio,"['Chronicles', 'Timekeeper', 'PastNarrator', 'AntiquitiesTeller', 'EraRecorder', 'EpochChronicler', 'HistoricalArchivist', 'BygoneBard', 'AgesScribe', 'YesteryearsBiographer', 'LegacyLorekeeper', 'TraditionTeller', 'HistoryStoryteller', 'AncientNarrativesKeeper', 'HeritageHerald', 'GenerationalGuru', 'PastSentinel', 'VintageVoice', 'YoreYarnspinner', 'OldenTalesBearer']"
Edible entrails,offal,"['Sausage', 'Casings', 'Innards', 'Chitterlings (Chitlins)', 'Brawn', 'Blood vessels', 'Pork scratching', 'Haggis (Ingredients)', 'Mett (German-style raw pork sausage filling)', 'Liverwurst', 'Suet', 'Andouille', 'Chitterlings (pig intestines, Cajun cuisine)', 'Pancetta', 'Tripe', 'Sweetbreads (Thymus or pancreas glands of an animal)', 'Kidneys', 'Bladders', 'Lung mince (Used in some dishes, though not common)', ""Trotters (Pig's feet, used in certain cuisines).""]"
Tanker for refuelling aircraft ,bowser,"['Aerialpetroler', 'Skygascarrier', 'Wingsupplier', 'Jetfueltender', 'Airmogastransporter', 'Flyboottanker', 'Cloudcarrier', 'AvionFueler', 'Flightresupplytruck', 'Airplanefiller', 'Skyrefiller', 'Combatplanejuicer', 'Flyingfuelmule', 'Airstormoiler', 'Wingedtankwagon', 'Aerostationserfer', 'Flyzonevictualer', 'Airshipsupplyboat', 'Jetstreamcarrier', 'Cloudboulevardtransporter', 'Skywaygasman']"
Utter curses upon ,execrate,"['Malediction', 'Conjuration', 'Invocation', 'Oathbreaker', 'Curserect', 'Excommunication', 'Incantation', 'Imprecation', 'Banefulness', 'Wrathspell', 'Accursed', 'Spellcasting', 'Forbiddance', 'Enchantment', 'Divination', 'Necromancy', 'Hexespeak', 'Maleficium', 'Ominous']"
