CLUE,ANS,POS,FOUND IN
Fewer ,less,9,Lesser in volume
Film ,movie,4,Critically acclaimed movie
Forgive sins,absolve,11,Sins absolved
Wryly satirical ,ironic,1,Ironically amusing
Sorcery -- conjuring ,magic,5,Magical manipulation
Golf ball support ,tee,5,Tee height alignment
Take over plane by force in flight ,hijack,1,Hijacking
Discover ,learn,7,Learn about
Book of maps ,atlas,3,Atlas series
Pointed weapons ,spears,12,"Short thrusting spears: Javelin (lightweight version), lance-like darts"
Loop of rope with a slip knot,noose,3,Releasable noose
Amiss ,awry,10,Awry location
Beforehand ,early,11,Early onset
Polite addition to a request ,please,6,Could you please...?
A feeling of righteous anger,outrage,4,Moral outrage
Large military force,army,5,Colossal standing army
