CLUE,ANS,POS
Prisoner held as surety ,hostage,1
Likeness; statue ,image,4
"Foretold, forecast ",predicted,1
"Choke, strangle",throttle,9
Saunters ,strolls,1
Sea bird ,fulmar,11
Deadly ,lethal,1
Measuring sticks ,rulers,1
Bored or discontented ,fed up,12
"Devilment, impishness ",mischief,1
Part of country surrounded by foreign territory,enclave,1
"Enormous, gigantic ",colossal,1
Imprison ,incarcerate,1
Fully developed ,mature,1
Doubts; reconsideration ,second thoughts,2
Stop,cease,2
Distraught ,grief-stricken,9
Astern ,aft,15
