CLUE,ANS,POS,FOUND IN
Short period of wintry weather ,cold snap,7,Short cold snap
Fiend ,demon,8,"**Satanic**: Implying a connection to the devil or demonic forces, often associated with fiends in folklore and mythology."
In this place ,here,26,Emotional state: Suggesting a particular emotional atmosphere or mood.
Pack ,stow,11,Stowed
Jerk of a gun when it's fired ,recoil,2,Recoils
Fruit of a rose ,hip,3,Hip (the fruit-bearing part of the rose plant)
Travel warrant (of the Beatles),ticket to ride,22,"The actual track is titled ""Ticket to Ride,"" which shares a similar theme and title structure with this crossword clue"
Arthur's capital ,camelot,2,Camelot (the legendary kingdom)
Soft feathers ,down,2,Downy
Film,movie,49,Movie magic
