CLUE,ANS,POS
Way in ,entrance,1
Blood vessel ,aorta,9
Skin disorder,eczema,1
Child's plaything ,toy,1
Sensible ,rational,3
Young deer ,fawn,6
Bird of town and wood ,pigeon,8
Arthur's sorcerer ,merlin,1
Cowboy's rope ,lasso,1
Ronnie Scott's music?,jazz,1
Ancient Greek town with 21 ,delphi,4
Hard kick ,boot,3
Ancestor ,forebear,1
Area of bad housing ,slum,1
"Greek philosopher (Poetics, Politics) ",aristotle,3
Natural fibre ,cotton,1
Repair ,mend,2
Unwrinkled ,smooth,2
Males ,men,4
Bad luck,ill fortune,3
Egyptian port and canal ,suez,1
It obstructs or hinders ,obstacle,1
