CLUE,ANS,POS
Lively party ,shindig,13
Meal ,dinner,4
Pisa has a leaning one ,tower,1
Wood-wind instrument ,oboe,4
Group of musicians ,orchestra,1
"Incompetent, clumsy",inept,1
Something with independent existence ,entity,1
Accumulate into total ,aggregate,1
Inflammatory skin condition ,eczema,1
Horse-like striped beast ,zebra,1
Part of a garment covering the arm ,sleeve,1
Horizontal beam over a doorway ,lintel,3
Annual ,yearly,1
Intoxicating drink ,alcohol,1
Artist's black material ,charcoal,1
Great sea ,ocean,1
Main constituent of the air ,nitrogen,1
Greek aubergine-based dish,moussaka,1
Pat on the back,kudos,18
Actor ,thespian,2
Scandinavian country ,norway,2
Intimidating behaviour ,harassment,4
Part of the foot ,instep,6
Absolutely horizontal ,level,2
Blyton creation ,noddy,1
Despite the fact that ,although,15
Allotted portion ,share,3
Lack of rainfall,drought,2
Martial art ,karate,1
Word book ,thesaurus,2
