CLUE,ANS,POS
Neither animals nor vegetables ,minerals,1
Sympathy ,fellow feeling,20
Worn away by weather ,eroded,1
Go down ,descend,1
Slope on road surface ,camber,3
Man-made lake of stored water ,reservoir,1
Deceived ,duped,5
Width of pans ,span,4
Indecent ,obscene,2
Practised for public performance,rehearsed,1
Large bivalve ,clam,1
Garments ,clothing,1
Smoking accessory,lighter,3
Disguises ,cloaks,6
Deduce,infer,1
Eventuality ,outcome,4
Its capital is Sofia ,bulgaria,1
Joint of a finger when the fist is closed ,knuckle,1
School furniture item ,desk,1
Dawn ,sunrise,1
