CLUE,ANS,POS,FOUND IN
Italian sparkling wine ,asti,2,Asti Spumante
Public occasion ,event,7,Social event
"-- - -- Ma, American cellist of Chinese/French origins",yo-yo,1,Yo-Yo Ma
"Curious, odd ",peculiar,3,Peculiar - Strange in a way that attracts interest; the definition embodies both given clues.
It may be grizzly or polar ,bear,2,Ursus arctos (scientific name for the grizzly bear)
Figure maker ,sculptor,2,Sculptor - One who creates figures out of materials like stone or metal.
Rips; droplets ,tears,1,"Clefts (as in tear or split, could form rips when something tears apart into droplets-like pieces)"
Plaything ,toy,3,Toyshop: a shop where toys are sold (also serves as a metaphorical plaything).
Pulverise ,mash,4,Smash
Restored to intelligibility ,unscrambled,18,Unscrambled jargon
Emaciated ,skeletal,5,Skeletal appearance
Fault - default ,defect,5,Flaw (defect or weakness)
