CLUE,ANS,POS,FOUND IN
Police search operation ,manhunt,12,Manhunt in progress
Immature state ,childhood,13,Childhood innocence
"Saccharin, for example",sweetener,4,Stevia (natural sweetener)
Order to be off the streets by a certain hour ,curfew,3,Curfew imposed
Kenyan capital ,nairobi,1,Nairobi fits both criteria as it is indeed the capital city of Kenya.
Yearn ,ache,8,"Ache (metaphorically, for something desired)"
"Prefix meaning life, of living things ",bio,1,"Bio- (from Greek ""bios"")"
Compartment for baking ,oven,1,Oven rack
Self-evident truth ,axiom,1,Axiomatic
One hooked on something ,addict,1,Addicted
Fin on the back of a fish ,dorsal,2,Dorsal fin
Military dining rooms ,messes,7,Field messes
"Fatuous, vacuous ",inane,14,"Inane (5 letters, INAANE)"
