CLUE,ANS,POS,FOUND IN
Deed ,act,1,Action
Co-operative friend,ally,1,Sympathetic ally
"W. B. --, Irish poet ",yeats,1,William Butler Yeats
Country and bird ,turkey,1,Turkey (country)
Java tree providing arrow poison ,upas,1,Upas (tree)
Relating to mankind ,human,1,Humankind
Hairy aromatic perennial herb strongly attractive to some pets,catnip,7,Catnip (strongly attractive to cats)
Yearning for past - homesickness,nostalgia,11,Nostalgia-tinged
Celestial body ,planet,10,Pluto (now classified as a dwarf planet)
The study of religion ,theology,17,Christian theology
