CLUE,ANS,POS
Confess and permit entrance ,admit,1
Sudden attack ,assault,1
"Feature, quality ",characteristic,2
Seaweed ,kelp,2
Immature state ,childhood,2
Viper ,adder,2
S African currency ,rand,1
Order to be off the streets by a certain hour ,curfew,1
Kenyan capital ,nairobi,1
Main tower of a castle ,keep,1
Paradise ,eden,2
"Waver, go this way and that ",fluctuate,1
Andean beast of burden ,llama,1
One hooked on something ,addict,1
Unwillingness to respect the views of others ,intolerance,13
"Fatuous, vacuous ",inane,3
Great fear,terror,3
"Flop, turkey ",dud,8
Universe ,cosmos,1
Storyline or piece of land ,plot,1
Adult swine ,hog,1
"'Sadness, grief (6)' ",sorrow,1
(Room for) gathering of distinguished people ,salon,8
Stuck and immobilized ,jammed,6
Latent ability,potential,1
"Informally, an eccentric or very strange person ",weirdo,17
Band of colours in the rainbow ,spectrum,1
Having put down roots,settled,4
Having no function ,useless,5
Son or daughter ,child,1
Secured - buckled ,fastened,1
Knave ,rogue,5
(Make) a rattling noise ,clatter,1
Peg for joining wood ,dowel,1
Strong cord ,rope,1
