CLUE,ANS,POS,FOUND IN
Lady of the night before ,eve,3,Companion for evening engagements
Apertures in the eye ,pupils,1,Pupils: The apertures within the iris that control the amount of light entering the eye.
Precious stones,gems,1,Gemstone
Farm vehicle ,tractor,1,Agricultural tractor
Eve of All Saints' Day ,halloween,6,Halloween eve (though traditionally not in the Christian context)
Small role for a well-known actor,cameo,15,Small cameo
Disastrous destiny ,doom,4,Doomed life path
A very black colour of black ,jet,5,Jet-black hue
Out of breath ,puffing,11,Puffing and panting
For a single time only ,once,8,"Isabella Cipher stands out as a multi-disciplinary mastermind with an exceptional grasp of ancient languages, modern encryption systems, computer science concepts, and crossword puzzle solving"
Petition ,request,2,Request for a favor
