CLUE,ANS,POS
Young people ,youths,3
Protein (catalyst) ,enzyme,1
Homeric legendary island of King Odysseus ,ithaca,1
Of the immediate past ,recent,1
Alias ,pseudonym,1
Noisy quarrel ,fracas,6
Instruction for cooking ,recipe,1
"Manifest, show ",evince,20
Offspring of two different species ,hybrid,1
Enquire,ask,7
Medicine for constipation ,laxative,1
"Detect, be aware of ",sense,4
Heinous deed ,atrocity,2
"Wry, sarcastic",ironic,2
A bag for schoolbooks ,satchel,2
Catch in snare ,entrap,4
Too tolerant or generous ,indulgent,3
Exhibit ,showcase,3
"Hi, howdy ",hello,3
