CLUE,ANS,POS
Mountain range in Russia and Kazakhstan ,urals,1
An artist works in it ,studio,1
Refuse to do business with ,boycott,1
Injure or harm severely ,maim,1
Cherish a desire,hope,10
First batsman ,opener,1
Bloodsucking insect ,louse,4
Protecting ,shielding,5
Legally confiscate ,sequester,12
"Foreigner, outsider ",alien,1
Convexity of the surface of a road ,camber,11
"Main, principal ",dominant,8
Grasp firmly,seize,5
Compulsory,forced,7
Reply - react,respond,1
Move from one place to another ,transfer,5
