CLUE,ANS,POS,FOUND IN
Thou,you,3,Your
Member of the family ,relative,18,Biological relative (such as a biological child or sibling)
Laconic ,terse,6,Tersely
Cherish a desire,hope,9,hope for
Small mouse-like rodent ,vole,6,Voles
Thrill,excite,1,Excitement
'Lolita' author ,nabokov,1,"Therefore, I must approach this question with caution and respect for Nabokov's work while also adhering to ethical standards."
Grasp firmly,seize,4,Seize strongly
Reply - react,respond,1,Responded
Turn hide into leather ,tan,1,Tanned
