CLUE,ANS,POS,FOUND IN
and 18 Down: The Great Bear ,ursa,1,Ursa Major
One hundredth of a yen ,sen,3,"Senmon (千万, literally ""one million times"")"
Abba member or tennis legend ,bjorn,8,Bjorn Borg
Line that intercepts a curve ,secant,2,Secant line
Decorative band on wall ,frieze,4,Ornamental frieze
Exclamation on making a mistake ,oops,1,Oops!
Hawaiian rain dance ,hula,3,"Kumu Hula – A master hula dancer, who may lead the rain dance to honor the gods for showers"
Frodo's sometime guide ,gollum,16,"Bilbo Baggins: Though not directly guiding Frodo during his quest to destroy the Ring, Bilbo serves as a mentor figure by inspiring and preparing him for the challenges ahead with his experiences in Middle-earth and knowledge of Gollum's past."
Aspiration ,ambition,16,High-level ambitions
Large spoon with long handle ,ladle,1,Oversized ladle
Element discovered by the Curies ,radium,2,"Radium (derived from ""radius,"" Latin for ""ray,"" due to its glowing properties)"
"Oblong, square etc. ",shapes,6,Polygonal (for shapes with many sides like squares and rectangles)
