CLUE,ANS,POS,FOUND IN
"Rue, repent ",regret,2,Regretful
Route ,path,9,Well-defined path
Rich fabric ,velvet,9,Velvet-lined
Scope - send money ,remit,2,Remittance
Easily sacrificed ,expendable,18,Expendable good (in a metapcvaphy)
Sicilian volcano ,etna,2,"Mount Etna (largest active volcano on the European mainland, near Sicily)"
Imaginary white horse with long horn ,unicorn,2,Mythical unicorn
Dome ,cupola,20,Cupola (architectural element resembling a small dome)
Repair ,mend,1,Mended
Subtropical shrub or tree ,acacia,11,Acacia (found in various subtropical regions)
A tooth on a wheel ,cog,1,Cogtooth
Lesson offered by story ,moral,2,Moral tale
Hand implements ,tools,12,Manual tools
