CLUE,ANS,POS,FOUND IN
Old collectable item,antique,1,Antique vase
Fully grown ,mature,1,Matured
Insipid -- uninteresting ,bland,7,"Bland (metaphorically related to taste, not directly insipid)"
Tear ,rip,4,Ripped document
"Asterix, for example ",gaul,1,Gaulish warrior
Peter Sellers' Pink Panther inspector ,clouseau,1,Intrepid Inspector Clouseau
Castor and Pollux ,gemini,2,Gemini constellation stars
Accept without proof ,assume,13,Assumed consent
Cause of general outrage,scandal,4,Scandalous behavior
Hazard ,peril,3,Perilous condition
Formal recommendation to an employer ,reference,7,Should you require any further information or references regarding Mr
Yet to come,future,11,Future promise
Evaded,dodged,17,Dodged potential pitfalls or risks
Separated ,apart,6,Drifting apart
Avidly enthusiastic ,zealous,10,Zealous advocate
Toy with plastic bricks ,lego,3,Experimenting with Lego pieces
Of water ,aqua,3,Aqua-based substance
Require ,need,7,"At-hand - Meaning readily available, quickly accessible when needed."
Traffic jam ,snarl-up,8,"Traffic snarl-up: Another term for traffic jam, depicting an entangled and obstructed flow of vehicles."
