CLUE,ANS,POS,FOUND IN
Stroke lovingly,caress,5,Caressed affectionately
Circled ,ringed,12,Ringed edge (referring to a circular outline or boundary)
Establish firmly in well-defended position ,entrench,2,Entrenched
Leisurely walk ,amble,4,Easy amble
Barrel-maker ,cooper,2,Coopery worker
Testimony - verification,evidence,9,Supporting evidence
Local habit,custom,14,Area-specific customs
Ships' companies ,crews,1,Naval crews
Things tied together ,bundle,2,Bundles
American country gaining independence from Spain in 1810 ,mexico,16,Royal Audiencia of Mexico (governance change context)
Greek goddess ,athena,2,"Athena - Goddess of wisdom, courage, and warfare"
In the direction of the Orient ,eastward,6,Eastward bound
Artilleryman's skill ,gunnery,10,Gunnery techniques
"Admittance, entree ",access,4,Access point
Split ,separate,6,Separated
Cadaverous ,gaunt,18,Visibly gaunt
Nationality of a citizen of Helsinki ,finn,1,Finnish
Petty quarrel ,spat,8,Irrelevant spat
Consent ,agree,1,Agreement reached
Ring-doughnut shape ,torus,3,Rippled torus
Vegetation; informer ,grass,12,Whistling wheatgrass (wheatgrass is often associated with health but whistling could symbolize sharing secrets)
