CLUE,ANS,POS,FOUND IN
"... dum and ...dee, characters in Through the Looking Glass",tweedle,2,Tweedle Dee
Won victory over ,defeated,1,Defeated opponent
Tributary ,feeder,11,Watershed feeder
Pass through a filter ,strain,9,Strainer
"Hit (by remorse, love) ",smitten,5,Love-smitten
"Of software, containing errors ",buggy,1,Buggy program
New and old parts of the Bible ,testament,3,The Apocrypha (intertestamental Jewish writings included in the Septuagint and Catholic Bibles but not in Protestant versions)
Cross-legged yoga attitude,lotus position,2,Padmasana (Lotus Position)
Curb ,rein,19,Rein in excesses
Drop behind,trail,4,Trailing off
Look; nobleman ,peer,12,Hereditary peer
Most diminutive ,smallest,9,Smallest measurable
