CLUE,ANS,POS,FOUND IN
Intense (aerial) bombardment,blitz,2,Blitzkrieg
Supreme Being ,god,8,Godhead
Long poems ,epics,2,Epics: Long narrative poems that recount the heroic deeds of legendary figures
Wash with clean water,rinse,5,Clear liquid rinse
Clown,jester,2,"Jester: An archaic term for a clown or court joker responsible for entertaining royalty through wit, jests, and harmless pranks."
Established customs ,habits,4,Longstanding habits
Sorcerer ,magician,18,Esoteric magician
Petty quarrel ,tiff,8,Petty tiff
Of soldiers and warfare ,military,5,Military tactics
The world considered as a linked community ,global village,1,"Global Village: A term coined by Marshall McLuhan in the 1960s, which envisions Earth's inhabitants as part of an interconnected and interdependent society."
Whirlpool ,eddy,7,Rotating eddy
Lapwing-like bird ,plover,12,Plover (general category of wading birds resembling lapwings in size and shape)
Came into sight ,appeared,2,Apparently appeared
Small biting fly ,gnat,6,Gnat (general term for various small biting flies)
"Member of the Beatles, d.1980 ",lennon,1,John Lennon - The primary songwriter for many iconic songs in the band's repertoire.
Ocean ,sea,4,Seaside
"Pablo -, Spanish painter/sculptor ",picasso,5,"Picasso: The surname of Pablo Picasso, the famous Spanish artist known for his influential contributions to modern art movements like Cubism."
Sudden impulse ,whim,15,Emotional whim (can lead to sudden actions)
Small landmass ,islet,7,"Key (informally used for smaller islands or islets, particularly in the Gulf region)"
Picture-house,cinema,2,Cinema hall
