CLUE,ANS,POS
Fortified wine ,sherry,4
Furthest or highest degree ,extreme,1
Open space (in forest) ,clearing,1
Physical or mental capacity,strength,5
Forthright ,blunt,3
People one doesn't know ,strangers,1
Demonstrate ,exhibit,13
"British monarch, d. 1714",anne,1
Widely known and esteemed ,renowned,3
Come closely together ,huddle,13
Come into view,appear,3
Large crow ,raven,4
Dominion ,empire,9
Extremely unattractive ,ugly,5
"Move first one way, then the other",zigzag,18
Bitter substance from cinchona bark ,quinine,1
