CLUE,ANS,POS,FOUND IN
Exterior ,outer,15,Outer layer
Plan of action of organisation - honesty is the best one ,policy,4,Establish a whistleblower policy that protects those who report dishonest practices within the organization.
Suitable ,fit,4,Fitting
Travel instantly (sci-fi) ,teleport,1,Teleportation
Brief and to the point ,concise,2,"Use Clear and Concise Language: Avoid jargon, complex sentences, and unnecessary adjectives or adverbs"
German emperor ,kaiser,1,Kaiser Wilhelm II
Canvas sunshield ,awning,7,Canvas awning
Full of exciting adventures (as costume drama) ,swashbuckling,1,Swashbuckling escapades
Enthusiastic praise ,acclaim,1,Acclaiming
West African river ,gambia,3,Gambia River
