CLUE,ANS,POS
Tramp ,vagrant,2
Middle Eastern dessert ,baklava,1
Oriental ,eastern,2
Book of maps ,atlas,1
Inhabit ,occupy,4
Play ,drama,9
Decorative clasp ,brooch,1
Stage setting ,scenery,11
Not recognized ,unknown,2
Keep in a certain state ,maintain,2
Blessing or good wishes to traveller ,godspeed,4
Inveterate ,habitual,4
Sphere of activity ,domain,1
"Gyrate, reel ",spin,1
Layman ,amateur,5
Liable to break easily ,fragile,1
Image to which people are expected to conform,stereotype,2
Flower container,vase,2
(Of music) not in a key ,atonal,4
A horse's feet ,hooves,1
"Inhabit, take up space ",occupy,3
Female title; panto part ,dame,5
Large bus,double-decker,3
The breastbone ,sternum,1
Raucous - austere - bitter,harsh,5
Lottery ,raffle,2
