CLUE,ANS,POS,FOUND IN
Tudor houses were often so ,half-timbered,12,Half-timbered exteriors
Cloak-and-dagger ,secret,3,Secret agent
S. African mongoose ,meerkat,2,"Meerkat (often used interchangeably, though technically not the same species as suricates are a part of the meerkat family)"
Season ,spring,12,Pitter-patter (sound of rain in spring)
Scurry -- iconic small car ,beetle,6,"Beetlebug (nickname for the Volkswagen Beetle, a classic compact car)"
Musician's aid for pitch ,tuning fork,6,Harmonic tuning fork
Tax-free savings account ,isa,2,"ISAs (Individual Savings Accounts, UK specific)"
Like an omelette ,eggy,8,"Eggy (many would consider an omelette to be ""eggy"" due to its main ing.content)"
Bird (of peace?) ,dove,1,"Dove - commonly associated with peace, especially in Western cultures where it is often depicted carrying an olive branch."
Unhappy ,sad,13,Blue (colloquial for sad or unhappy)
