CLUE,ANS,POS,FOUND IN
South Pacific member of the Commonwealth ,fiji,6,Fiji Islands
Subcontinent ,india,2,Indian subcontinent
"In this, you have a positive bank balance ",credit,7,Credit union account
Sudden thrust in fencing ,lunge,14,Sudden lunge
Colour; sad ,blue,3,Deep blue
Group of elements working as a whole ,system,20,**Franchise** - A group of businesses operating under a common name and system.
Guffaw ,laugh,1,Laughter
Time for relaxing ,leisure,10,Indulge in leisure
Parisian tower designer ,eiffel,1,Gustave Eiffel
One in loco parentis ,guardian,3,Caring guardian
Unit of energy ,erg,17,Digital unit of energy
