CLUE,ANS,POS
Social insect ,ant,1
Farm vehicle ,tractor,1
Palindromic German name ,otto,5
"Courting, romancing ",wooing,2
"Levy, inflict ",impose,1
(Make a) deceptive move,feint,3
Male relation ,uncle,3
Not damaged in any way,intact,1
Antelope,impala,3
Gift; here ,present,1
Large African mammal,hippopotamus,6
Remunerations ,earnings,17
Chic ,elegant,3
Ball game ,tennis,6
Eye problems causing blurred vision ,cataracts,1
Large deer ,caribou,7
Concave - sunken ,hollow,5
"Stage entertainment with sketches, songs and dance ",revue,1
