CLUE,ANS,POS
Fewer ,less,1
Forgive sins,absolve,3
Defy ,flout,19
Formerly Nyasaland ,malawi,1
Renounce (a belief) ,recant,2
Golf ball support ,tee,1
Right-hand page ,recto,1
Take over plane by force in flight ,hijack,1
Book of maps ,atlas,1
Quavering,tremulous,1
Exalted; awesome ,sublime,1
Pointed weapons ,spears,4
Amiss ,awry,1
Artillerymen,gunners,1
Arab sailing ship ,dhow,1
Bequest ,legacy,2
Aristocratic lady,countess,1
Low spirits,melancholy,2
The easing of tensions between nations ,detente,1
Large military force,army,1
