CLUE,ANS,POS
Reject disdainfully ,spurn,1
Place of worship,temple,4
Self-service meal,buffet,1
Threadlike strands growing from the skin ,hair,1
Jutting part of lower jaw,chin,1
Sailor from the Arabian Nights ,sinbad,1
Not able to be overcome ,impregnable,7
Pulchritude,beauty,1
Took a loan of ,borrowed,1
Natural gift ,talent,1
Dress - clothing,garb,6
Wool from long-haired goats ,angora,2
State of southern US ,alabama,1
Fairground's pink confection,candy floss,8
Hoodlum ,thug,1
Concerted operation to sully someone's name,smear campaign,1
Countrified,rural,1
Haunt -- preoccupy ,obsess,10
Musical dramas ,operas,1
Means of detecting and locating distant objects,radar,3
Modern Constantinople ,istanbul,2
