CLUE,ANS,POS
Roman Emperor notorious for vice and luxury ,nero,2
Clown,jester,1
"Rudyard --, author ",kipling,1
Sorcerer ,magician,1
Thrilled ,excited,1
Burrowing marsupial ,wombat,2
The world considered as a linked community ,global village,1
Lapwing-like bird ,plover,2
Came into sight ,appeared,3
Marine - living in water ,aquatic,1
Abundant in quantity ,copious,8
Small falcon ,merlin,1
Dramatic prince of Denmark ,hamlet,1
Small biting fly ,gnat,2
Sermons are preached from it ,pulpit,2
Vocalist ,singer,1
"Undamaged, not broken ",intact,1
