CLUE,ANS,POS,FOUND IN
"Depend, bank",rely,2,"Rely (as in ""I rely on my salary to support my family"")"
Plummet ,fall,1,Fall sharply
Common pub name ,rose and crown,11,The Rose and Crown
Influenced or touched by an external factor ,affected,14,A person's self-esteem is affected by their social media presence.
Pot for ashes ,urn,2,Furnace
Delilah's strong man ,samson,1,This weakness ultimately leads to Samson's downfall.
Early bedtime enforced by military ,curfew,15,Beats the curfew
Extreme deviation from the mean -- our tile (anag) ,outlier,1,"In statistics and mathematics, outliers can be extreme values that don't follow the usual pattern."
Hearth goddess; a match ,vesta,1,"In mythology, Vesta was often depicted as a goddess tending the fire on her altar."
English or Dutch glazed earthenware,delft,1,"Delft (a type of blue-and-white ceramic ware originating from Delft, Netherlands)"
