CLUE,ANS,POS
Fold covering around something ,wrap,1
Started again after a break,resumed,1
Contact device,pager,5
"Useless, producing no results ",futile,1
Hurt ,injured,3
Stayed clear of,avoided,2
Measure applied to gold or gems ,carat,2
"Glass cylinders closed at one end, used in laboratory work",test tubes,1
Portending bad things ,ominous,2
Seeress; Mrs. Fawlty ,sibyl,6
The onset of darkness ,nightfall,4
Tenth month of Muslim year ,shawwal,7
Period or stage in a process ,phase,1
Areas,regions,1
"Seasonal wind in southern Asia, brings heavy rains ",monsoon,1
