CLUE,ANS,POS,FOUND IN
Dependent upon ,reliant,12,Pet-reliant
This leaf may conceal nudity in art ,fig,6,Sketching leaf with nude figure
Slight wind ,breeze,1,Gentle breeze
Floating impurity layer ,scum,5,Scum layer
Produce shoots ,sprout,2,Sprouting
Vegetable ,pea,7,Peas
"Seize, usually for ransom",kidnap,1,Kidnapper
Retaliation ,revenge,2,Revengeful act
Hale ,healthy,11,Shiny and healthy hair
Wading bird ,avocet,12,Avocets
"Compare, liken ",equate,5,Readily Available and Nutrient-rich Diet: An easily accessible food supply that provides all the necessary nutrients for a healthy diet contrasts sharply with an inadequate or poor-quality diet leading to malnourishment when left hungry.
Brazilian footballing legend ,pele,20,Pele (Edson Arantes do Nascimento)
