CLUE,ANS,POS,FOUND IN
Work done on furniture,upholstery,10,"Upholstery fabric selection: choosing appropriate fabrics and textiles that match the style, comfort, and durability requirements of furniture pieces."
Rational motive ,reason,1,Logical reasoning
Modifier of a noun ,adjective,1,"Adjective: quick-fix, long-lasting"
Sit Cyril down - he's a songwriter ,lyricist,3,"Collaborate with Others: Encourage collaboration and exchange of ideas with fellow musicians, producers, and lyricists for fresh perspectives on his work."
Boast ,brag,2,Bragging about achievements
Nethermost,lowest,1,Lowest point
Honest ,upright,11,Upright in character
Country and bird ,turkey,1,Turkey: Turkeys are native to North America but have become synonymous with a specific type of holiday feast due to their use in Thanksgiving dinners.
Period of time,era,6,Ephemeral duration
"Follow-up film, book etc",sequel,1,Catching Fire: The Hunger Games (Film Sequel)
Embellish ,decorate,2,Richly decorated
Distance from the surface to the bottom ,depth,1,Profound depth
Acid-tasting salad leaf ,sorrel,17,Unripe sorrel leaves (may have a tangy taste when consumed raw in salads)
Birth control device ,contraceptive,2,Contraceptive implant
