CLUE,ANS,POS,FOUND IN
Kill by piercing with a spear or sharp pole ,impale,7,Impaled
Like no other ,unique,1,Peacock-like (peacock's unique appearance)
Paid heed,attended,4,Attended carefully
"Gas, O ",oxygen,3,Oxygenate
Improved trend in business or fortune ,upturn,15,Financial upturn
Between Triassic and Cretaceous ,jurassic,1,Jurassic Period (the period between the Triassic and Cretaceous is known as the Jurassic)
Capture (slang) ,nab,2,Nabbed
Non-clergy ,laic,19,Laicite supporter (specifically in the context of French secularism)
Examine (quickly) ,scan,9,Scanned
Miscellaneous ,mixed,5,Mixed-up
Ocean ,sea,1,Seafaring
Snare; carriage ,trap,13,Cyclical trap
