CLUE,ANS,POS,FOUND IN
Step on ladder ,rung,2,Ascend rung by rung
Storage surfaces ,shelves,20,Floating shelves
Fully grown ,mature,1,Matured
Call before a court to answer an indictment ,arraign,2,Arraignment notice
Take a loan of ,borrow,1,Borrowed funds
A rugby score ,try,1,Try scored
Shouts of approval ,cheers,14,Exultant cheers
Wickedness ,evil,2,Evil intent
Reconnaissance unit ,patrol,4,Patrol party
Ditty,song,3,Simple song
Cinema film ,flick,6,Flicks
Hostile reaction,backlash,19,Agitated backlash
"Bob -, Blowin' in the Wind singer ",dylan,1,Bob Dylan
Bar parlour - comfortably placed ,snug,12,Snug bar stool
