CLUE,ANS,POS,FOUND IN
Assert one's right to,claim,1,Claim one's rights
Cease work ,rest,11,Rest from labor
Be at odds,disagree,3,In disagreement
Travelling company of entertainers ,circus,19,Traveling circus
Broad smile,grin,1,Cheesy grin
Italian poet ,dante,1,Dante Alighieri
Member of police force ,officer,1,Law enforcement officer
Business room - position of responsibility or duty,office,1,Manager's office
Affectedly polite and refined ,genteel,10,Self-consciously genteel
Scottish residence of the British royal family ,balmoral,1,Balmoral Castle
