CLUE,ANS,POS
Proportion of one thing to another ,ratio,1
Sesame Street character -- patron saint of sailors ,elmo,1
Intrepid,audacious,5
Large property ,estate,2
Affection,warmth,5
Hamlet's mother ,gertrude,1
Loose casual trousers,slacks,1
Gross mistake,blunder,1
Kinship between women ,sisterhood,1
Interlace strands of material ,weave,4
Criminal deception,fraud,1
Local dignitary ,mayor,1
Pass away ,perish,3
Not guilty ,innocent,1
Protective or concerned ,caring,1
Covert ,stealthy,2
Evident - tangible ,palpable,12
Former name for Sri Lanka ,ceylon,1
Comedian ,comic,4
Early artilleryman ,cannoneer,1
