CLUE,ANS,POS,FOUND IN
Assert one's right to,claim,8,Claim authority
Men whose wives have died ,widowers,3,"**Elderly Grief**: Potential answers include ""Widowers,"" ""Solemn men,"" or even ""Grieving husbands."""
Ten years ,decade,22,A decade - Time period often used to describe a span of ten years.
Island mostly north of the Arctic circle,greenland,7,"Greenland (while not exclusively north, it's partially within the Arctic Circle)"
Be at odds,disagree,12,Disagreeing
Lewis Carroll''s frumious monster,bandersnatch,2,Bandersnatch (a nod to Lewis Carroll's fictional creatures)
The Roman emperor said to have made his horse a consul,caligula,13,"Caligula (Gaius Julius Caesar Germanicus, a Roman emperor known for his cruelty and madness)"
Broad smile,grin,21,Grinning
Inclined or took care of ,tended,33,**Fasting (when unintended)**: Accidentally abstaining from food
Member of police force ,officer,32,Law enforcement officer
