CLUE,ANS,POS,FOUND IN
Allocates a task ,assigns,1,Assigns responsibility
Assert one's right to,claim,1,claim entitlement
Ten years ,decade,1,Decade long
Relating to artistic writing ,literary,7,Literary finesse
Be at odds,disagree,1,Disagreeing
Breed of antelope ,impala,7,"Impala (though not strictly an antelope, it's often included in discussions of African ungulates)"
(Of snow) melt ,thaw,1,Thawing
The Roman emperor said to have made his horse a consul,caligula,2,Incitatus (referring to Emperor Caligula's infamous act)
Travelling company of entertainers ,circus,3,Circus group
Broad smile,grin,4,Grinning widely
Inclined or took care of ,tended,15,Properly attended to
Italian poet ,dante,1,Dante Alighieri
Attire ,dress,1,Dressy
Business room - position of responsibility or duty,office,1,Officeholder
Scottish residence of the British royal family ,balmoral,1,Balmoral Castle
