CLUE,ANS,POS,FOUND IN
Spherical form of carbon ,buckminsterfullerene,5,Buckminsterfullerene (Buckyball)
Pertaining to sight ,visual,12,Visually accessible
Mythical giant ,titan,8,"Titans (ancient Greek divine beings, some of whom were giant-like creatures)"
Light red ,pink,9,Pinkish red
September/March date ,equinox,2,March equinox
Autumn; drop ,fall,1,Falling leaves
Lacking strength,weak,1,Weakened
In the Land of Nod ,sleeping,12,Sleeping world (metaphor for a state of unresponsiveness or obliviousness to reality)
Sign (cheque) on back ,endorse,1,Endorsement
Jewish republic ,israel,7,"Betar Movement (Zionist paramilitary organization that played a role in early Israeli defense and politics, not directly a political entity)"
Wizardry,magic,1,Magical arts
"Opposed, against ",anti,14,Anti-
Settled up ,paid,14,Bills paid off
Cook in an oven ,bake,1,Baked
