CLUE,ANS,POS
.... sapiens is the human species ,homo,1
Orderly and clean ,neat,1
Servitude ,bondage,1
Engulfing swirl of e.g. whirlpool ,vortex,1
"Practical, no-nonsense",down-to-earth,6
Asian desert ,gobi,2
Full of praise ,laudatory,5
Asian country ,vietnam,9
Gun ,firearm,1
House or hotel visitors ,guests,1
Put right ,amend,2
This job does not require all of the working week ,part-time,1
Country of Pharaohs ,egypt,1
Gambling house ,casino,1
"Upper class, nobility ",aristocracy,12
