CLUE,ANS,POS,FOUND IN
Sloping - likely ,inclined,17,Inclined plane
Unit of power ,watt,1,Wattage
Add by conquest or occupation,annex,1,Annexation
"___ Jones, Harrison Ford hero - US state",indiana,1,"Indiana (Harrison Ford starred as the iconic character in ""Indiana Jones"")"
They're surrounded by water ,islands,7,Ait/Eyot (British terms for small islands in a river or lake)
Small square tile used in mosaics ,tessera,1,Tesserae
Goes around the edge of women's garments ,skirts,18,Pleats (when arranged at the edges of garments such as skirts)
Immoderate eater ,glutton,1,Gluttonous
Frightened ,scared,43,Scared stiff
White coloured,chalky,15,Chalky coloration
"Dazed or unconscious condition, sometimes caused by alcohol ",stupor,14,Bacchanalian stupor
