CLUE,ANS,POS
Grasslike marsh plant ,sedge,3
Cheap fruit? ,peach,3
Woven or knitted cloth,fabric,1
Ancient Mexican ,aztec,1
Nebraska city ,omaha,1
Group working together ,team,1
Slangy adjective for harking back to the past ,retro,2
Steam bath ,sauna,1
Leaf of a conifer ,needle,1
Bread browner ,toaster,1
Coxswain ,helmsman,2
Unyielding,rigid,8
Short note ,memo,2
Give a drug to ,medicate,2
"Tedium, ennui ",boredom,2
Differ ,vary,1
Strange ,odd,1
Royal seat ,throne,1
Piece of writing ,essay,2
White ant ,termite,2
Having no beginning or end ,infinite,1
Permanent ,enduring,3
Let fall ,drop,2
Rare noble gas ,radon,2
George or George W. ,bush,1
Spout for discharging fluid ,nozzle,5
Modifies for a new use ,adapts,2
Wood ,timber,1
Plan,blueprint,3
Overdue,late,1
Domestic animal ,cat,1
Swindle ,con,5
Entice ,tempt,3
