CLUE,ANS,POS
Heavenly body,comet,5
Ointment ,unguent,10
Like a teddy bear? ,cuddly,1
Rider's seat ,saddle,1
Shout ,yell,2
Valuable or cherished ,precious,1
Brief; abrupt ,terse,19
Double-reed instrument ,oboe,1
Habituate ,inure,8
Traverse ,cross,1
City of northern Italy ,milan,1
Social insect ,ant,1
Simple way to secure two rope ends,reef knot,11
"Franz . . . . ., 19th century Hungarian composer and pianist ",liszt,2
Be,exist,1
Adhere ,stick,1
Cleric ranking just below a priest in Christian churches,deacon,1
Seeming ,apparent,1
Colour ,blue,2
Garden implement ,rake,1
"- Garbo, Swed. actress ",greta,2
Making clothes ,tailoring,2
Shakes or trembles ,shudders,6
