CLUE,ANS,POS
Pouch for post ,mailbag,1
Shrewd ,canny,2
Bewitching ,magical,9
Difficult and tiring,arduous,3
Young hens,pullets,2
"Hard, spicy beef and pork sausage ",pepperoni,8
City thoroughfare ,street,3
Godparent ,sponsor,3
Cherubic,angelic,16
Get on - governing body ,board,6
State of equilibrium ,balance,1
Stockings ,nylons,8
Instructions for cooking ,recipe,1
One of the Twelve Apostles ,thomas,8
It's said to be the best medicine ,laughter,1
Fomenter of unrest ,agitator,1
Asian republic ,laos,13
Leave out ,omit,2
Caviar fish ,sturgeon,1
Creating a collection ,compiling,2
Inconsequential ,minor,2
Large and scholarly book ,tome,2
Small outpost of families ,settlement,1
London terminus ,euston,1
Cricket team? ,eleven,1
Card game ,canasta,9
Furious ,irate,2
Ambiguous ,equivocal,1
Spanish fizz,cava,1
Sole ,only,5
"US state, capital Columbus ",ohio,1
Sorrow ,grief,1
Road surface material of tar and stone ,tarmac,5
At some time afterwards ,later,3
Wall paintings ,frescoes,1
It's used by a conductor and a policeman ,baton,1
Terrifying (threats) ,bloodcurdling,14
Academic essay,thesis,1
Prolonged; nagging ,persistent,1
Rules observed in polite society,etiquette,1
Increase speed ,accelerate,1
Happiness ,delight,5
