CLUE,ANS,POS,FOUND IN
Short sleep ,nap,13,Short nap
The animal said to be stubborn ,mule,1,"This characteristic has led to the phrase ""as stubborn as a mule"" becoming a popular idiom in many cultures."
"Ghastly, grisly ",gruesome,2,"Grisly: Graphic, gruesome"
Areas for shooting practice ,ranges,1,Gun ranges
Great sorrow at someone's death ,grief,1,Grief-stricken
Laid low ,stricken,7,Illness-stricken
Peruse ,read,3,Read through
"Small, light boat ",canoe,20,Outrigger canoe
Plate protecting the skin of fish and reptiles,scale,2,"Fish scales: These are made of keratin, the same protein found in human hair and nails"
Southern African desert ,kalahari,1,"It's known for its unique landscapes, including the famous ""sand rivers"" and ""dune fields."" The Kalahari is also home to several indigenous tribes and an incredible array of wildlife, despite its arid conditions."
West African river ,niger,1,Niger River
