CLUE,ANS,POS,FOUND IN
Food for queen and larvae ,royal jelly,2,"Protein-packed larval food (bee pollen): The royal jelly produced by worker bees is rich in proteins, fats, vitamins, and minerinas, which are vital for the growth and health of queen and larvae."
Highly skilled musician ,virtuoso,2,Prodigious virtuoso
Descend vertical slope using rope ,abseil,7,Hillside abseil
The smaller of two ,lesser,1,Lesser portion
"Hard to pin down, slippery ",elusive,1,Elusive - difficult to find or describe clearly
Pulled along roughly ,dragged,1,Dragged unintentionally
Remove hair (which could be narrow) ,shave,2,Shaven
In reserve; remark ,aside,2,Set aside
Solid - business ,firm,2,Firm foundation
Shore ,coast,1,Coastline
A clairvoyant ,seer,12,Psychic seer with the gift of clairvoyance
Official ban on trade ,embargo,2,Trade embargo
Cry like a wolf,howl,2,Howling
Wide area ,expanse,4,Broad expanse
Tribe ,clan,9,Aboriginal clan
Doctor Who's machine ,tardis,1,TARDIS (Time And Relative Dimension In Space)
