CLUE,ANS,POS
Slaughterhouse ,abattoir,1
Elicit ,evoke,11
Fruit tree trained to grow against a wall ,espalier,1
Short-lived fad ,craze,2
Devastate ,ravage,8
"A fast warship, sounds leisurely ",cruiser,1
Magnify,enlarge,1
Bird ,heron,8
Lifting machines and wading birds ,cranes,1
Chess piece and one of the clergy ,bishop,1
A mixture of rain and snow ,sleet,2
Big and roomy ,spacious,1
Pig's noise,oink,2
Strain ,tension,1
Land of the tzars ,russia,1
Part of the eye ,retina,6
Deep red gem stone ,garnet,2
Antipodean country ,new zealand,2
