CLUE,ANS,POS,FOUND IN
Furthest or highest degree ,extreme,1,Most extreme
Gloss - refinement,polish,1,Polished
Open space (in forest) ,clearing,2,Forest clearing
Forthright ,blunt,2,Bluntly
"British monarch, d. 1714",anne,2,Anne's successor
Relating to a form of government with power shared between the centre and the regions ,federal,1,"Federalism: A system where power is divided between a central governing authority and constituent political units, allowing both levels of government to share sovereignty."
Gas or dust clouds in space ,nebulae,10,Cradle of Stars (referring to nebulae)
Come closely together ,huddle,1,Huddle up
Come into view,appear,1,Appearing
Extremely unattractive ,ugly,9,Ugly visage
Dungeon ,cell,6,Damp cellar
Local church community ,parish,1,Parishioners
"Move first one way, then the other",zigzag,6,Zigzag pattern
