CLUE,ANS,POS,FOUND IN
Booking (in restaurant) ,reservation,2,Making a reservation
Sleep-like state ,trance,16,Sleep-like trance
Period (of enchantment?),spell,9,Spellbinding
Banknote; beak ,bill,1,Dollar bill
Kind of ferry ,ro-ro,13,"Ro-ro ferry (short for ""roll-on/roll-off,"" which allows vehicles to drive onto the ferry)"
Ball game ,hockey,10,Hockey puck
Statement of money owed,invoice,19,Overdue invoice
Moves stealthily ,creeps,3,Creeps unnoticed
Swimming stroke ,crawl,7,Back crawl
Draw (brows) together ,knit,3,Knit brows
Sacred beetle ,scarab,3,Sanctified scarab
In favour of ,pro,2,Pro-active
