CLUE,ANS,POS
"Wiped out, deleted ",erased,1
Taut ,tight,1
Capital of the Balearic Islands,palma,1
Reverberate ,echo,2
Troubles ,difficulties,3
Inventors' protections ,patents,1
"Catastrophe, tragedy ",disaster,1
In this place ,here,1
Speed up ,quicken,13
European principality,liechtenstein,2
An official decree from Russia ,ukase,1
Large unit of old Roman army ,legion,1
Happening ,event,1
Pigs' feet,trotters,2
Ship's steering apparatus ,rudder,2
Film,movie,1
Recreational snow slope ,ski run,1
Owns up or grants entrance to ,admits,1
Side benefit ,spin-off,14
