CLUE,ANS,POS,FOUND IN
Accuse with a crime (US) ,indict,2,Indictment
A knotted mess,tangle,1,Entangled
Fastener ,zip,17,Zipper
Over to the other side,across,18,Escaped across
Hindu sect and its chant ,hare krishna,1,"Vaishnavism - ""Hare Krishna"""
Plunge headlong ,plummet,6,Plummet unhesitatingly
Kayak-like boat,canoe,1,Canoe 
Organ of hearing ,ear,2,Inner ear
Strong wind ,gale,13,Sailing gale (when moderate strength is required in sailing terminology)
"Coin issued Jan first, two thousand and two ",euro,1,Euro(1st series: €1 coin)
IX,nine,4,Enneagon (a nine-sided polygon)
