CLUE,ANS,POS,FOUND IN
"Thyme, for example",herb,6,"Thymian (a less common form, referring to another herb)"
Family,kin,1,Kinfolk
Element in diamonds ,carbon,1,Diamonds are allotropes of carbon where the atoms have arranged themselves in a crystal lattice structure known as a diamond cubic formation
Set of beliefs ,credo,11,Credos
Long narrow stretch of water between Africa and Arabia ,red sea,3,Red Sea Passage
"Of soldier, illegally absent - initially ",awol,2,Absent without leave (AWOL)
Major period of history ,epoch,6,Victorian Epoch
Littoral region ,coast,2,Coastal margin
Rod used for punishment ,cane,8,Disciplinary cane
A Christmas tree,holly,15,Holly and pine
Arrive at ,reach,1,Reach destination
