CLUE,ANS,POS,FOUND IN
Home designer ,interior decorator,7,Domestic interior decorator
Stingy hoarder ,miser,4,Miserly stockpile
Nun's title ,sister,4,Sister-Superior
Thin and metallic in sound ,tinny,7,"Tinny (can imply a metallic sound, but not typically thin)"
Fit out ,equip,3,Equipped
Hitchcock's speciality ,suspense,1,Suspense-maker
Retain ,keep,5,Keep intact
"Speak indistinctly, as a drunk might ",slur,2,Slurred speech
Wholly engrossed ,absorbed,1,Completely absorbed
Of little weight ,light,1,Lightweight
Small water swirls ,eddies,16,Subtle eddies
Commercial vehicle ,van,6,Cargo van
Subject ,topic,1,Topic at hand
