CLUE,ANS,POS
High-pitched and sharp ,shrill,1
Listen to,hear,1
Save from danger ,rescue,1
Sweetener ,sugar,1
Prepared ,ready,1
Feed ,nourish,1
Underarm protection? ,deodorant,1
Perimeter ,circumference,3
Group formed to limit competition ,cartel,1
Trojan hero,hector,1
Inequality ,disparity,8
Intrepid ,fearless,4
Impudence ,nerve,7
Game bird (in a pear tree?),partridge,7
Ships travelling together ,convoy,2
Happy-go-lucky ,carefree,6
Angora fabric,mohair,2
"Gives, apportions ",allots,6
