CLUE,ANS,POS
Ancient stringed instrument ,lyre,1
Original New Zealanders ,maori,2
Drinker's paunch ,beer belly,1
Baked fruit pudding,apple crumble,2
Reach ,attain,2
Soldier in a light cavalry regiment ,hussar,5
No speed required for poetic metrical foot ,spondee,5
"Guard, keeper ",warden,3
Life-supporting gas ,oxygen,1
Irrational fear ,phobia,1
Those fully grown ,adults,2
Grain-stores ,silos,2
Renounce (a belief) ,recant,6
Book of maps ,atlas,2
Exalted; awesome ,sublime,6
Arab sailing ship ,dhow,1
Bequest ,legacy,2
Aristocratic lady,countess,2
The easing of tensions between nations ,detente,3
