CLUE,ANS,POS
Decoration ,embellishment,4
Person whose earnings support the family ,breadwinner,2
Nonmilitary person ,civilian,1
Curt ,terse,7
Kind (of entertainment?),variety,4
(Walk with) a stiff pompous gait ,strut,6
False excuse ,pretext,3
Goes beyond ,exceeds,2
"French composer, d. 1963 - clone up (anag)",poulenc,5
Child's construction set ,lego,2
Not merited ,unearned,2
"Fake, phoney ",bogus,2
Decorates ,adorns,1
Religious word to express praise or thanks ,alleluia,20
Pressing of a dangerous situation to the limit,brinkmanship,3
