CLUE,ANS,POS
Forced off the tracks,derailed,1
Revolving platform ,turntable,1
Enunciation ,diction,5
One of Montezuma's people,aztec,1
Cure ,remedy,2
Interminable ,endless,1
Athenian king ,theseus,1
Betrayer ,traitor,1
Angry ,irate,4
Unpunctuality ,tardiness,1
Cover on a car wheel ,hubcap,4
Roman Emperor notorious for vice and luxury ,nero,1
Clown,jester,1
Get away ,escape,4
"Rudyard --, author ",kipling,1
Established customs ,habits,4
Sorcerer ,magician,2
Thrilled ,excited,2
Petty quarrel ,tiff,10
Casual shoes ,sneakers,1
Burrowing marsupial ,wombat,1
The world considered as a linked community ,global village,1
Naval asset ,warship,1
Lapwing-like bird ,plover,2
Marine - living in water ,aquatic,1
Abundant in quantity ,copious,2
Small falcon ,merlin,2
Dramatic prince of Denmark ,hamlet,1
Small biting fly ,gnat,4
"Eg, native of Sucre ",bolivian,1
Sermons are preached from it ,pulpit,1
Vocalist ,singer,1
"Undamaged, not broken ",intact,1
