CLUE,ANS,POS,FOUND IN
Trick ,hoax,11,Hoaxer
Boundary trench ,ditch,13,Defense ditch
Indian term of respect,sahib,13,Sahibji/Sahiba (respectful form for addressing men and women respectively; equivalent to 'Mr.' or 'Mrs.')
Armed conflict; lawsuit,action,13,Armed factions
Sleeveless apron-like dress,pinafore,18,Pinafore-style top (can be paired to mimic the apron-like covering)
Islands off Cornwall ,scilly,1,Isles of Scilly
Yellow-brown pigment ,sienna,18,Raw sienna (a natural pigment)
Female deity,goddess,1,"Athena (Greek goddess associated with wisdom and warfare, sometimes depicted as female)"
Type of macaque ,rhesus,1,Rhesus Macaque
Tanned hide ,leather,2,Bronzed leather
Violent winds and rain ,storms,14,Raging elements (nature's violent storms)
"Eg, Vesuvius ",volcano,1,Active volcano
Costed ,priced,5,Reasonably priced
Beloved can be expensive ,dear,3,Costly endearment
Consequence caused by something else ,effect,1,Resultant effect
Surrender as a penalty ,forfeit,10,Forfeit position
"... of the fittest, natural selection ",survival,1,Survival of the strongest
Clear savoury jelly ,aspic,5,Tasty aspic
Supreme Being ,god,9,All-knowing God
Long poems ,epics,6,"Mahabharata, one of India's two major Sanskrit epics"
Wash with clean water,rinse,1,Rinse thoroughly
"Banter, provoke gently ",tease,12,Tactful tease
Prison formerly standing on site of the Old Bailey ,newgate,1,Newgate Prison
Of soldiers and warfare ,military,10,Military personnel
Came into sight ,appeared,1,Appeared suddenly
"Member of the Beatles, d.1980 ",lennon,1,John Lennon
Ocean ,sea,4,Seaside
"Pablo -, Spanish painter/sculptor ",picasso,6,El Greco's influence on Pablo Picasso
Sudden impulse ,whim,9,Whim of the moment
Small landmass ,islet,9,Rocky islet
Picture-house,cinema,2,Cinema hall
Behindhand ,tardy,11,Tardy in action
