CLUE,ANS,POS
Spanish friend ,amigo,1
Mechanical device preventing a wheel slipping backwards,ratchet,11
Origins ,roots,5
Travel through an area to learn about it ,explore,8
Follower of religion founded by Joseph Smith Jr. ,mormon,1
A simple or old song ,ballad,1
State-of-the-art ,cutting-edge,10
Wardrobe ,closet,1
The kneecap ,patella,9
Right or means of entry ,access,19
Field of grass ,meadow,2
Part of a machine with a plunging motion ,piston,2
Sailing ship ,barque,18
Offer of marriage ,proposal,1
Unit of current ,ampere,2
