CLUE,ANS,POS
Insect drawn to flame ,moth,10
Arch used in croquet ,hoop,1
Feel; discernment ,sense,12
Ill-mannered child,brat,1
Coniferous tree ,larch,8
Model ,pattern,18
Salt water expanse,ocean,1
Uncontrollable muscle contractions ,spasms,3
Home made of blocks of snow ,igloo,1
Unique designation in radio communications ,call sign,1
Mischievous,puckish,4
Creator of ceramics ,potter,1
Merciful ,lenient,16
Precipitous ,steep,1
Hereditary molecule ,gene,3
Shout of approval,bravo,8
String quartet instrument,cello,3
He's not involved - just observing ,onlooker,2
Large indefinite number ,myriad,3
