CLUE,ANS,POS,FOUND IN
Firm ,solid,7,Solid-built
Make better ,improve,1,Improve upon existing quality or features
Many-coloured gem ,opal,8,Hued opal
Power to withstand hardship ,endurance,20,"Steadfast endurance (persistent adherence or devotion, especially under strain or difficulty)"
Naked ,nude,3,Fully nude
Highway ,road,2,Arterial road
Occasion for excessive eating or drinking,binge,1,Binge-eating
Thick liquid for skin ,lotion,2,Rich lotion
Disease inflaming the big toe ,gout,1,"Gout: A form of arthritis characterized by severe pain, redness, and swelling in one joint, commonly affecting the big toe."
Grind (teeth),gnash,4,Gnashing teeth
"Translate, decode",interpret,1,Linguistic Interpretation: This could be an idiomatic expression implying someone has not eaten for a while and is experiencing hunger
Peculiarity of phrase in a language ,idiom,7,"Semantic irregularity: An atypical interpretation or usage of words that departs from conventional meanings, often revealing subtle cultural nuances and idiomatic expressions unique to a particular language."
Child's toy on a string ,yo-yo,5,Tethered yo-yo
Stand firm against ,resist,1,Resistant stance
Shielded ,sheltered,7,Securely sheltered
Former ruler of Iran,shah,1,Reza Shah Pahlavi
Fight ,battle,10,Battle-hardened
Made ready (to fire) ,primed,15,Gunpowder primed
Broad ,wide,4,Wide-ranging
Strain ,tension,13,"Strain in relationships: Emotional distress caused by tensions, conflicts, and challenges within interpersonal connections"
Christian Creed adopted in 325 a.d. ,nicene,1,Nicene Faith
Coral island ,atoll,2,Barrier reef atoll
Improve equipment or promote ,upgrade,1,Upgrade machinery for better performance
