CLUE,ANS,POS
Italian cured pork ,pancetta,5
"Collection of facts, information ",data,1
Tourist attraction of Rome ,colosseum,1
Concoction ,brew,3
Effect produced by playing a series of notes very rapidly,glissando,2
Barrier to trade ,embargo,3
"Plant of the celery family; leaf is a herb, seeds a spice",dill,5
Cook in hot water,boil,1
Metal bolt ,rivet,2
Property renter ,tenant,1
Law officer ,sheriff,16
Ten years,decade,1
Living being ,animal,1
Good-natured chaff ,banter,1
Quest ,search,9
Baldness ,alopecia,1
Shorebird found on sniper pad ,sandpiper,10
Typical example or pattern ,paradigm,1
Dark brown fur,sable,8
Chocolate substitute ,carob,1
Portraying romanticised country life ,pastoral,6
Explanatory drawings ,diagrams,1
Change direction ,turn,1
Disgusting,repulsive,1
"Mock, sneer at ",deride,9
Courageous woman ,heroine,1
Take issue,differ,20
Deadlock ,impasse,2
"Dry, parched ",arid,1
Deduce ,infer,1
"Fair City or Coronation Street, say ",soap opera,10
Brought up ,raised,1
